time,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last
78235,12.6426,11.3184,12.4679,3.58,12.4762,3.01,11.93772314,11.4095,12.4679,12.4679
78236,12.6426,11.3184,12.4678,25.48,12.4752,3.01,11.93772314,11.4095,12.4679,12.4679
78237,12.6426,11.3184,12.4616,3.73,12.469,3.01,11.93773879,11.4044,12.4678,12.4678
78238,12.6426,11.3184,12.4578,180.0,12.4735,3.01,11.93774522,11.4044,12.4615,12.4615
78239,12.6426,11.3184,12.4578,177.97,12.4663,5.98,11.93774544,11.4044,12.4578,12.4578
78241,12.6426,11.3184,12.4578,177.97,12.4696,60.89,11.93774544,11.4044,12.4578,12.4578
78242,12.6426,11.3184,12.4578,177.97,12.4695,3.01,11.93774544,11.4044,12.4578,12.4578
78243,12.6426,11.3184,12.4578,177.97,12.469,3.01,11.93795416,11.3966,12.4578,12.4578
78244,12.6426,11.3184,12.4579,590.0,12.4646,0.9,11.93796404,11.3967,12.4646,12.4646
78245,12.6426,11.3184,12.4579,590.0,12.4693,3.01,11.93796404,11.3967,12.4646,12.4646
78247,12.6426,11.3184,12.4579,590.0,12.4692,3.01,11.93796404,11.3967,12.4646,12.4646
78248,12.6426,11.3184,12.4579,590.0,12.4692,3.01,11.93796404,11.3967,12.4646,12.4646
78249,12.6426,11.3184,12.4579,590.0,12.4733,3.01,11.93796444,11.3968,12.4646,12.4646
78250,12.6426,11.3184,12.4579,590.0,12.4677,25.17,11.93796444,11.3968,12.4646,12.4646
78251,12.6426,11.3184,12.4582,3.01,12.4677,25.17,11.93796477,11.3968,12.4676,12.4676
78252,12.6426,11.3184,12.458,3.01,12.465,4.06,11.93796492,11.3968,12.465,12.465
78254,12.6426,11.3184,12.4582,3.01,12.465,4.06,11.93796492,11.3968,12.465,12.465
78255,12.6426,11.3184,12.4585,3.01,12.4677,20.77,11.93796584,11.3968,12.4677,12.4677
78256,12.6426,11.3184,12.4587,3.01,12.4677,20.77,11.93796584,11.3968,12.4677,12.4677
78257,12.6426,11.3184,12.4587,3.01,12.4677,20.77,11.93796584,11.3968,12.4677,12.4677
78259,12.6426,11.3184,12.4696,42.99,12.4742,57.53,11.93796947,11.3968,12.4742,12.4742
78260,12.6426,11.3184,12.4648,3.01,12.481,58.97,11.93796947,11.3968,12.4742,12.4742
78261,12.6426,11.3184,12.4658,17.52,12.473,59.61,11.93797499,11.3968,12.4658,12.4658
78262,12.6426,11.3184,12.4589,20.0,12.4657,3.01,11.93797776,11.3968,12.4615,12.4615
78263,12.6426,11.3184,12.4591,3.0,12.4719,59.06,11.93797809,11.3968,12.4723,12.4723
78265,12.6426,11.3184,12.4522,200.0,12.4702,4.34,11.93800011,11.3968,12.4552,12.4552
78266,12.6426,11.3184,12.4522,200.0,12.4702,4.34,11.93800011,11.3968,12.4552,12.4552
78267,12.6426,11.3184,12.4523,149.74,12.4688,4.34,11.93800612,11.3965,12.4552,12.4552
