Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,42.459999,43.770000,42.060001,43.009998,32.204113,4659200
2009-01-27,43.290001,43.959999,42.880001,43.220001,32.361332,5218900
2009-01-28,43.470001,44.400002,42.759998,43.240002,32.376328,8071100
2009-01-29,42.759998,42.759998,40.369999,40.709999,30.481951,8446500
2009-01-30,40.759998,42.490002,40.630001,42.310001,31.679972,9098000
2009-02-02,41.730000,41.730000,40.110001,40.799999,30.549343,8107400
2009-02-03,41.450001,42.430000,40.759998,42.090000,31.515249,7220800
2009-02-04,42.119999,42.970001,41.689999,41.970001,31.742115,6729000
2009-02-05,41.750000,43.110001,40.619999,42.720001,32.309364,9021100
2009-02-06,42.520000,43.669998,42.250000,42.919998,32.460629,6334200
2009-02-09,42.799999,43.419998,42.439999,42.799999,32.369858,5088300
2009-02-10,41.290001,42.230000,40.020000,40.209999,30.411030,9999200
2009-02-11,40.509998,40.759998,39.860001,40.330002,30.501799,6519300
2009-02-12,39.580002,39.990002,38.580002,39.860001,30.146338,6028900
2009-02-13,39.889999,41.189999,39.889999,40.480000,30.615242,5483500
2009-02-17,39.490002,39.740002,38.299999,38.430000,29.064814,6949100
2009-02-18,38.770000,38.770000,37.759998,37.980000,28.724482,6324500
2009-02-19,38.240002,38.700001,37.419998,37.570000,28.414381,5466700
2009-02-20,36.730000,37.200001,35.320000,36.310001,27.461447,10598900
2009-02-23,36.730000,36.790001,34.349998,34.459999,26.062284,9519200
2009-02-24,34.439999,35.830002,33.889999,35.439999,26.803461,10815100
2009-02-25,35.270000,35.270000,33.220001,33.910000,25.646315,11683900
2009-02-26,34.500000,34.619999,32.639999,32.709999,24.738749,8771600
2009-02-27,32.299999,32.369999,31.400000,31.440001,23.778236,11789000
2009-03-02,30.959999,31.000000,29.320000,29.510000,22.318569,13956800
2009-03-03,29.700001,30.110001,29.049999,29.360001,22.205126,10433300
2009-03-04,29.860001,30.780001,29.110001,30.309999,22.923618,11627500
2009-03-05,29.219999,30.020000,29.070000,29.389999,22.227818,11675700
2009-03-06,29.610001,30.200001,29.389999,30.100000,22.764786,13134300
2009-03-09,29.980000,31.459999,29.959999,31.000000,23.445461,12407200
2009-03-10,31.420000,33.020000,31.320000,33.009998,24.965641,11501700
2009-03-11,32.590000,33.700001,32.389999,33.270000,25.162283,10823100
2009-03-12,33.009998,33.750000,32.389999,33.630001,25.434546,6133200
2009-03-13,33.720001,34.099998,32.930000,33.400002,25.260599,7434000
2009-03-16,33.740002,34.959999,33.380001,33.830002,25.585810,7157200
2009-03-17,33.919998,34.439999,33.259998,34.439999,26.047150,5270900
2009-03-18,34.290001,34.750000,32.500000,33.750000,25.525307,15879900
2009-03-19,33.860001,34.119999,32.970001,33.189999,25.101776,10427300
2009-03-20,33.220001,33.500000,32.540001,32.549999,24.617739,11323000
2009-03-23,33.200001,35.500000,33.049999,35.500000,26.848829,8223900
2009-03-24,34.880001,36.720001,34.820000,36.099998,27.302620,8468300
2009-03-25,36.029999,37.790001,35.970001,37.060001,28.028673,12446200
2009-03-26,37.320000,38.680000,36.910000,38.660000,29.238764,9544600
2009-03-27,38.230000,38.470001,37.070000,37.529999,28.384136,7329000
2009-03-30,36.630001,36.980000,35.110001,35.520000,26.863960,10833800
2009-03-31,35.900002,36.240002,35.049999,35.580002,26.909348,11549200
2009-04-01,34.520000,35.599998,34.209999,35.439999,26.803461,9288800
2009-04-02,36.160000,37.980000,36.160000,37.200001,28.134563,9449300
2009-04-03,37.230000,38.119999,36.389999,37.689999,28.505144,8591300
2009-04-06,37.480000,38.220001,36.540001,38.160000,28.860613,7390300
2009-04-07,37.509998,37.689999,36.509998,36.639999,27.711025,6015900
2009-04-08,36.500000,37.160000,36.240002,36.869999,27.884972,4477300
2009-04-09,37.680000,39.180000,37.680000,39.150002,29.609352,9065400
2009-04-13,36.970001,37.480000,35.810001,37.150002,28.096741,9531300
2009-04-14,36.509998,37.500000,36.299999,37.040001,28.013552,5845300
2009-04-15,36.630001,38.040001,36.610001,37.570000,28.414381,5452200
2009-04-16,37.619999,38.750000,37.000000,38.389999,29.034552,6423900
2009-04-17,38.549999,38.779999,38.180000,38.320000,28.981619,6152300
2009-04-20,37.650002,37.860001,36.360001,36.480000,27.590015,7017000
2009-04-21,36.660000,36.660000,35.939999,36.650002,27.718596,7352500
2009-04-22,37.849998,38.320000,36.540001,37.299999,28.210182,11626000
2009-04-23,37.290001,38.119999,36.599998,37.930000,28.686663,6400400
2009-04-24,38.099998,39.009998,37.750000,38.720001,29.284149,8351000
2009-04-27,37.990002,39.849998,37.720001,39.470001,29.851372,8546500
2009-04-28,39.110001,39.419998,38.320000,38.849998,29.382460,6627200
2009-04-29,39.090000,40.730000,39.020000,40.549999,30.668179,7775900
2009-04-30,41.070000,41.740002,39.900002,40.049999,30.290028,7028100
2009-05-01,40.310001,41.369999,40.090000,41.209999,31.167341,5508800
2009-05-04,41.900002,42.180000,41.509998,42.180000,31.900955,5269800
2009-05-05,41.919998,43.250000,41.919998,43.150002,32.634590,7683900
2009-05-06,43.299999,44.209999,43.080002,44.200001,33.757263,7930300
2009-05-07,44.470001,44.619999,42.750000,43.529999,33.245560,7106700
2009-05-08,43.959999,45.840000,43.770000,45.830002,35.002174,7491100
2009-05-11,45.259998,45.599998,44.529999,44.720001,34.154423,9595700
2009-05-12,44.540001,45.070000,43.290001,44.099998,33.680904,7068700
2009-05-13,43.180000,43.419998,42.380001,42.950001,32.802605,6323700
2009-05-14,42.939999,43.810001,42.720001,43.439999,33.176826,5251600
2009-05-15,43.270000,43.990002,42.709999,43.000000,32.840786,5189300
2009-05-18,44.250000,44.529999,43.810001,44.369999,33.887104,7288000
2009-05-19,44.360001,45.060001,43.900002,44.619999,34.078026,4792100
2009-05-20,45.049999,45.740002,44.540001,44.580002,34.047497,4734200
2009-05-21,43.990002,44.000000,42.700001,43.290001,33.062267,5785000
2009-05-22,43.470001,43.610001,42.860001,42.939999,32.794960,2951600
2009-05-26,42.610001,44.330002,42.520000,44.160000,33.726723,4718300
2009-05-27,43.889999,44.330002,43.450001,43.570000,33.276112,4622300
2009-05-28,43.990002,44.450001,43.189999,44.320000,33.848919,4559600
2009-05-29,44.610001,45.080002,43.950001,44.849998,34.253700,5417400
2009-06-01,45.540001,47.810001,45.540001,47.700001,36.430359,6920500
2009-06-02,47.700001,49.430000,47.310001,49.200001,37.575958,7453200
2009-06-03,48.709999,49.200001,47.790001,48.369999,36.942062,4700000
2009-06-04,48.630001,50.910000,48.570000,50.570000,38.622295,7324600
2009-06-05,52.160000,53.259998,52.160000,52.650002,40.210873,13724100
2009-06-08,52.490002,53.330002,51.130001,52.830002,40.348328,7957400
2009-06-09,53.389999,53.389999,51.310001,52.349998,39.981735,7723800
2009-06-10,52.820000,53.200001,51.099998,52.299999,39.943554,6556200
2009-06-11,51.830002,52.570000,50.480000,50.660000,38.691021,11852300
2009-06-12,50.759998,51.560001,50.110001,51.439999,39.286739,5476700
2009-06-15,50.900002,51.090000,49.020000,49.520000,37.820362,6363200
2009-06-16,49.570000,50.150002,48.700001,48.830002,37.293377,5725700
2009-06-17,48.549999,49.160000,48.049999,48.549999,37.079544,4870800
2009-06-18,48.430000,49.279999,48.150002,48.959999,37.392681,3098700
2009-06-19,49.180000,49.529999,48.110001,48.439999,36.995529,7032600
2009-06-22,47.830002,48.029999,46.529999,46.900002,35.819363,5198500
2009-06-23,44.389999,44.500000,42.520000,43.869999,33.505222,27281100
2009-06-24,43.139999,43.549999,41.090000,41.320000,31.557709,21282800
2009-06-25,41.400002,42.599998,41.110001,42.529999,32.481827,14005100
2009-06-26,42.110001,42.779999,41.500000,41.880001,31.985401,15578800
2009-06-29,42.150002,43.020000,42.080002,42.650002,32.573479,5514600
2009-06-30,43.630001,43.790001,42.099998,42.500000,32.458920,8321200
2009-07-01,42.630001,42.950001,42.150002,42.230000,32.252705,6346700
2009-07-02,41.810001,41.810001,40.619999,40.830002,31.183460,7201500
2009-07-06,40.380001,40.759998,39.919998,40.560001,30.977262,7132800
2009-07-07,40.500000,40.689999,38.939999,39.040001,29.816372,7701600
2009-07-08,39.119999,39.830002,38.919998,39.549999,30.205898,8800400
2009-07-09,39.750000,40.000000,39.020000,39.299999,30.014944,5432600
2009-07-10,39.200001,39.709999,38.919998,39.650002,30.282261,5833500
2009-07-13,39.680000,40.830002,39.259998,40.439999,30.885605,6549000
2009-07-14,40.389999,40.900002,40.110001,40.410000,30.862698,5748500
2009-07-15,40.770000,41.459999,40.509998,41.360001,31.588245,7867100
2009-07-16,41.009998,42.220001,41.009998,42.049999,32.115231,5356800
2009-07-17,42.250000,42.400002,41.099998,41.360001,31.588245,5691600
2009-07-20,41.709999,42.259998,41.160000,42.200001,32.229786,5535200
2009-07-21,42.820000,43.709999,42.500000,43.020000,32.856056,9161800
2009-07-22,42.400002,43.459999,41.950001,42.000000,32.077042,12052300
2009-07-23,42.000000,42.189999,40.779999,41.950001,32.038853,13617700
2009-07-24,41.950001,42.490002,41.720001,42.369999,32.359612,5068000
2009-07-27,42.000000,42.369999,41.430000,42.240002,32.260349,5671700
2009-07-28,41.990002,43.349998,41.799999,43.250000,33.031719,7831200
2009-07-29,43.000000,43.500000,42.639999,43.369999,33.123360,5078100
2009-07-30,43.939999,44.500000,43.130001,43.240002,33.024094,8279800
2009-07-31,43.320000,43.490002,42.799999,42.910000,32.772053,6029200
2009-08-03,43.180000,44.020000,42.509998,43.790001,33.444130,6064800
2009-08-04,43.639999,44.439999,43.349998,44.160000,33.726723,5964600
2009-08-05,43.630001,44.209999,43.400002,44.029999,33.950329,7129800
2009-08-06,44.290001,45.730000,44.029999,45.520000,35.099232,10207000
