Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,33.599998,34.240002,31.700001,32.669998,23.413904,47390400
2009-01-27,33.240002,33.419998,32.099998,32.320000,23.163071,20354500
2009-01-28,33.259998,33.509998,32.619999,33.000000,23.650415,13466700
2009-01-29,32.610001,32.660000,31.629999,31.850000,22.826229,14575000
2009-01-30,31.580000,31.730000,30.059999,30.850000,22.109556,20956900
2009-02-02,30.100000,30.799999,29.600000,30.290001,21.708216,16966700
2009-02-03,29.809999,31.030001,29.809999,29.990000,21.493204,18880200
2009-02-04,30.440001,31.570000,30.200001,30.600000,21.930382,17419200
2009-02-05,30.350000,32.090000,30.200001,31.610001,22.654226,17793300
2009-02-06,32.380001,33.849998,32.209999,33.279999,23.851088,17010100
2009-02-09,33.470001,33.599998,32.400002,32.720001,23.449738,9063700
2009-02-10,32.860001,33.310001,30.610001,30.920000,22.159718,17205600
2009-02-11,31.350000,31.930000,30.650000,31.129999,22.310217,10544900
2009-02-12,30.750000,31.090000,30.030001,31.020000,22.231384,13662000
2009-02-13,31.410000,31.840000,30.850000,30.940001,22.174046,10182000
2009-02-17,30.299999,30.500000,28.520000,28.980000,20.769360,22207000
2009-02-18,29.160000,29.219999,27.770000,28.440001,20.382349,17863600
2009-02-19,28.950001,28.980000,26.860001,27.020000,19.364666,17837600
2009-02-20,26.139999,27.270000,26.020000,26.660000,19.106667,19735100
2009-02-23,27.260000,27.260000,25.059999,25.120001,18.002979,16294800
2009-02-24,25.250000,26.320000,24.420000,26.040001,18.662329,22352400
2009-02-25,26.040001,26.049999,24.360001,25.030001,17.938480,17736700
2009-02-26,25.400000,25.719999,24.150000,24.230000,17.365135,14299600
2009-02-27,23.750000,25.230000,23.500000,24.610001,17.637474,16872900
2009-03-02,24.070000,24.200001,22.030001,22.170000,15.888774,21017600
2009-03-03,22.650000,23.290001,21.709999,22.469999,16.103777,22397200
2009-03-04,23.809999,26.389999,23.660000,25.440001,18.232311,37251600
2009-03-05,24.700001,24.700001,23.180000,23.490000,16.834793,21400000
2009-03-06,23.900000,24.910000,22.520000,23.230000,16.648455,19993500
2009-03-09,22.879999,24.860001,22.719999,23.920000,17.142960,19510700
2009-03-10,24.760000,26.969999,24.530001,26.510000,18.999166,22468000
2009-03-11,26.969999,27.129999,25.660000,26.309999,18.855825,15780700
2009-03-12,26.209999,27.170000,25.270000,27.020000,19.364666,13783900
2009-03-13,27.440001,27.610001,26.020000,26.780001,19.192667,10861300
2009-03-16,27.070000,27.400000,26.280001,26.420000,18.934673,13215200
2009-03-17,26.510000,26.850000,25.670000,26.830000,19.228502,14259900
2009-03-18,26.240000,27.930000,25.700001,27.469999,19.687174,17978500
2009-03-19,27.969999,28.850000,27.770000,28.410000,20.360853,17542700
2009-03-20,28.629999,28.900000,26.730000,27.070000,19.400509,16531300
2009-03-23,28.139999,29.650000,27.530001,29.629999,21.235205,14463000
