Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,13.080000,13.580000,13.030000,13.380000,9.497221,49562500
2009-01-27,13.510000,13.950000,13.500000,13.810000,9.802436,45615800
2009-01-28,14.130000,14.270000,13.790000,14.010000,9.944398,57065400
2009-01-29,13.850000,13.850000,13.310000,13.370000,9.490123,51354500
2009-01-30,13.450000,13.500000,12.900000,12.900000,9.156514,47000100
2009-02-02,12.820000,13.710000,12.750000,13.630000,9.674672,69886500
2009-02-03,13.670000,13.790000,13.290000,13.730000,9.745654,56695700
2009-02-04,13.780000,14.560000,13.710000,13.880000,9.953615,77692400
2009-02-05,13.650000,14.400000,13.530000,14.250000,10.218953,61024500
2009-02-06,14.440000,14.880000,14.210000,14.730000,10.563168,62677300
2009-02-09,14.640000,15.050000,14.540000,14.910000,10.692246,64735500
2009-02-10,14.780000,15.150000,14.040000,14.080000,10.097041,94001200
2009-02-11,14.260000,14.320000,13.730000,14.080000,10.097041,57378700
2009-02-12,13.810000,14.000000,13.490000,14.000000,10.039671,76366300
2009-02-13,13.910000,14.260000,13.850000,13.880000,9.953615,55953700
2009-02-17,13.560000,13.730000,13.210000,13.210000,9.473145,60690300
2009-02-18,13.320000,13.700000,13.090000,13.360000,9.580716,51305600
2009-02-19,13.330000,13.380000,12.670000,12.680000,9.093074,56175100
2009-02-20,12.530000,13.020000,12.530000,12.780000,9.164784,73617900
2009-02-23,12.900000,12.910000,12.050000,12.080000,8.662801,88416500
2009-02-24,12.170000,12.810000,12.090000,12.730000,9.128932,74644300
2009-02-25,12.720000,13.480000,12.580000,13.030000,9.344061,108225000
2009-02-26,13.320000,13.600000,12.660000,12.710000,9.114588,69012700
2009-02-27,12.500000,13.140000,12.490000,12.740000,9.136101,69764500
2009-03-02,12.510000,13.020000,12.310000,12.310000,8.827741,64495900
2009-03-03,12.480000,12.630000,12.140000,12.280000,8.806224,76602000
2009-03-04,12.700000,13.050000,12.360000,12.760000,9.150443,84412100
2009-03-05,12.560000,12.860000,12.300000,12.310000,8.827741,76644500
2009-03-06,12.430000,12.920000,12.070000,12.410000,8.899453,79191400
2009-03-09,12.330000,13.000000,12.300000,12.550000,8.999848,87044700
2009-03-10,12.800000,13.950000,12.750000,13.920000,9.982301,92478000
2009-03-11,14.050000,14.100000,13.640000,13.960000,10.010985,82085400
2009-03-12,14.240000,14.600000,13.880000,14.520000,10.412573,84846000
2009-03-13,14.570000,14.700000,14.210000,14.700000,10.541655,66631100
2009-03-16,14.790000,14.850000,14.140000,14.250000,10.218953,72651200
2009-03-17,14.320000,14.900000,14.250000,14.900000,10.685078,64928700
2009-03-18,14.900000,15.410000,14.720000,15.240000,10.928900,91361600
2009-03-19,15.390000,15.390000,14.720000,15.150000,10.864357,66560800
2009-03-20,15.190000,15.400000,14.350000,14.650000,10.505798,84639100
2009-03-23,15.020000,15.540000,14.940000,15.520000,11.129693,64167500
2009-03-24,15.260000,15.410000,15.000000,15.000000,10.756793,59468600
2009-03-25,15.080000,15.710000,14.710000,14.940000,10.713765,94510300
2009-03-26,15.230000,15.890000,15.180000,15.820000,11.344828,77554300
2009-03-27,15.490000,15.660000,15.260000,15.420000,11.057980,45694300
2009-03-30,15.090000,15.100000,14.480000,14.720000,10.555996,55433000
2009-03-31,14.910000,15.370000,14.900000,15.030000,10.778304,62044500
2009-04-01,14.770000,15.320000,14.620000,15.030000,10.778304,75052800
2009-04-02,15.380000,16.000000,15.260000,15.700000,11.258774,77688000
2009-04-03,15.630000,15.960000,15.350000,15.950000,11.438053,51137100
2009-04-06,15.650000,15.870000,15.450000,15.860000,11.373513,47650800
2009-04-07,15.600000,15.780000,15.260000,15.450000,11.079494,52741800
2009-04-08,15.350000,15.730000,15.150000,15.270000,10.950412,68332300
2009-04-09,15.620000,16.070000,15.600000,15.980000,11.459566,58560100
2009-04-13,15.810000,16.090000,15.560000,15.980000,11.459566,45423200
2009-04-14,15.980000,16.389999,15.800000,16.010000,11.481079,92083600
2009-04-15,15.360000,15.680000,15.110000,15.620000,11.201406,152727500
2009-04-16,15.840000,15.930000,15.400000,15.890000,11.395029,68775100
2009-04-17,15.880000,15.890000,15.450000,15.600000,11.187061,67299700
2009-04-20,15.360000,15.370000,15.000000,15.000000,10.756793,66489000
2009-04-21,14.980000,15.520000,14.960000,15.360000,11.014954,85204200
2009-04-22,15.190000,16.110001,15.080000,15.670000,11.237260,95293600
2009-04-23,15.680000,15.790000,15.100000,15.530000,11.136863,74517400
2009-04-24,15.610000,15.740000,15.300000,15.620000,11.201406,67621900
2009-04-27,15.310000,15.630000,15.210000,15.280000,10.957583,64601800
2009-04-28,15.120000,15.410000,15.040000,15.050000,10.792646,55510200
2009-04-29,15.200000,15.550000,15.070000,15.350000,11.007783,60855600
2009-04-30,15.610000,16.160000,15.500000,15.780000,11.316143,77775200
2009-05-01,15.760000,15.850000,15.480000,15.810000,11.337657,50861600
2009-05-04,16.290001,16.740000,16.139999,16.660000,11.947209,88096300
2009-05-05,16.530001,16.530001,15.930000,16.160000,11.686860,67894300
2009-05-06,16.430000,16.440001,15.970000,16.120001,11.657929,66328400
2009-05-07,16.309999,16.370001,15.480000,15.770000,11.404812,90338200
2009-05-08,15.870000,15.930000,15.200000,15.290000,11.057674,94098000
2009-05-11,15.090000,15.630000,15.000000,15.370000,11.115533,69490100
2009-05-12,15.490000,15.530000,15.000000,15.210000,10.999819,73714000
2009-05-13,15.360000,15.470000,15.090000,15.130000,10.941966,75872500
2009-05-14,15.160000,15.690000,15.150000,15.540000,11.238476,71224300
2009-05-15,15.540000,15.610000,15.150000,15.190000,10.985355,61813300
2009-05-18,15.320000,15.550000,15.180000,15.520000,11.224013,44691600
2009-05-19,15.470000,15.910000,15.270000,15.650000,11.318027,59048200
2009-05-20,15.810000,16.049999,15.490000,15.580000,11.267404,60337700
2009-05-21,15.360000,15.430000,15.050000,15.180000,10.978125,59548500
2009-05-22,15.230000,15.260000,15.010000,15.050000,10.884109,44344900
2009-05-26,15.010000,15.510000,15.000000,15.480000,11.195083,64342900
2009-05-27,15.500000,15.860000,15.340000,15.460000,11.180621,60488000
2009-05-28,15.560000,15.720000,15.150000,15.720000,11.368650,59109200
