Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,16.469999,16.530001,15.290000,15.650000,10.278902,210411100
2009-01-27,15.610000,16.020000,15.550000,15.820000,10.390560,111621400
2009-01-28,15.950000,16.000000,15.010000,15.440000,10.140975,108822500
2009-01-29,15.290000,15.480000,15.020000,15.120000,9.930800,67661800
2009-01-30,15.090000,15.120000,14.500000,14.580000,9.576131,68724200
2009-02-02,14.630000,15.160000,14.520000,14.890000,9.779737,69191000
2009-02-03,14.400000,15.380000,14.400000,15.200000,9.983347,63391600
2009-02-04,15.040000,15.170000,14.530000,14.570000,9.775357,65648300
2009-02-05,14.540000,14.760000,14.330000,14.500000,9.728396,77128600
2009-02-06,14.540000,15.020000,14.450000,14.840000,9.956507,63818700
2009-02-09,15.120000,15.120000,14.610000,14.710000,9.869287,47810700
2009-02-10,13.740000,14.710000,13.740000,14.070000,9.439898,75988000
2009-02-11,14.180000,14.400000,14.120000,14.380000,9.647882,50432200
2009-02-12,14.300000,14.680000,14.100000,14.650000,9.829031,65199700
2009-02-13,14.520000,14.940000,14.500000,14.580000,9.782069,58061500
2009-02-17,14.280000,14.420000,14.050000,14.250000,9.560662,63395100
2009-02-18,14.110000,14.400000,14.060000,14.160000,9.500282,48398100
2009-02-19,14.300000,14.430000,13.980000,14.030000,9.413060,41345400
2009-02-20,13.830000,14.030000,13.600000,13.710000,9.198366,62644400
2009-02-23,13.700000,13.750000,13.250000,13.270000,8.903161,68304000
2009-02-24,13.370000,13.660000,13.130000,13.590000,9.117856,65565100
2009-02-25,13.430000,13.430000,12.900000,13.080000,8.775683,74715700
2009-02-26,13.210000,13.370000,12.680000,12.700000,8.520733,74122700
2009-02-27,12.470000,12.580000,12.280000,12.310000,8.259070,100253800
2009-03-02,12.080000,12.170000,11.620000,11.660000,7.822968,105982200
2009-03-03,11.840000,12.220000,11.680000,11.870000,7.963865,83766000
2009-03-04,12.110000,12.700000,11.930000,12.500000,8.386546,90511400
2009-03-05,12.370000,12.750000,12.250000,12.670000,8.500604,101753000
2009-03-06,12.660000,12.750000,12.360000,12.730000,8.540856,83970600
2009-03-09,12.380000,12.920000,12.380000,12.630000,8.473767,70467500
2009-03-10,12.700000,13.130000,12.590000,13.090000,8.782393,95924000
2009-03-11,13.100000,13.190000,12.730000,12.790000,8.581115,79747200
2009-03-12,13.250000,14.140000,12.940000,14.020000,9.406351,112301000
2009-03-13,13.960000,14.720000,13.840000,14.540000,9.755228,83151800
2009-03-16,14.630000,14.990000,14.130000,14.150000,9.493571,84977900
2009-03-17,14.110000,14.290000,13.880000,14.260000,9.567371,53999500
2009-03-18,14.210000,14.580000,13.720000,14.250000,9.560662,55577700
2009-03-19,14.260000,14.260000,13.410000,13.700000,9.191654,67626100
2009-03-20,13.700000,13.950000,13.500000,13.630000,9.144691,71560800
2009-03-23,13.950000,14.080000,13.670000,14.020000,9.406351,65999300
2009-03-24,13.910000,14.160000,13.840000,13.920000,9.339257,42698000
2009-03-25,13.980000,14.600000,13.890000,14.260000,9.567371,68954200
2009-03-26,14.280000,14.620000,14.200000,14.380000,9.647882,55371100
2009-03-27,14.220000,14.360000,13.950000,14.040000,9.419768,46476000
2009-03-30,13.880000,14.040000,13.550000,13.700000,9.191654,59772100
2009-03-31,13.800000,13.870000,13.560000,13.620000,9.137978,57290700
2009-04-01,13.590000,14.040000,13.430000,13.990000,9.386222,64302200
2009-04-02,14.060000,14.100000,13.720000,13.770000,9.238620,60433000
2009-04-03,13.590000,13.770000,13.450000,13.550000,9.091018,52919400
2009-04-06,13.560000,14.190000,13.540000,13.710000,9.198366,59575800
2009-04-07,13.620000,13.710000,13.460000,13.510000,9.064178,50073700
2009-04-08,13.540000,13.710000,13.360000,13.480000,9.044052,41968500
2009-04-09,13.620000,13.720000,13.350000,13.550000,9.091018,55024300
2009-04-13,13.530000,13.720000,13.420000,13.480000,9.044052,41797200
2009-04-14,13.520000,13.540000,13.210000,13.340000,8.950124,58021300
2009-04-15,13.340000,13.940000,13.320000,13.860000,9.299005,58961000
2009-04-16,13.930000,13.990000,13.560000,13.900000,9.325838,52162300
2009-04-17,14.010000,14.270000,13.900000,14.160000,9.500282,72734400
2009-04-20,13.970000,14.020000,13.560000,13.590000,9.117856,52323000
2009-04-21,13.590000,13.640000,13.100000,13.520000,9.070889,66288400
2009-04-22,13.430000,13.440000,13.040000,13.040000,8.748844,72229000
2009-04-23,13.110000,13.310000,12.750000,13.280000,8.909867,86121700
2009-04-24,13.310000,13.380000,12.990000,13.170000,8.836068,65618100
2009-04-27,13.360000,13.560000,13.210000,13.490000,9.050763,56918600
2009-04-28,13.640000,13.650000,13.140000,13.390000,8.983670,67862900
2009-04-29,13.350000,13.600000,13.150000,13.430000,9.010504,78178800
2009-04-30,13.580000,13.720000,13.280000,13.360000,8.963540,64667500
2009-05-01,13.390000,13.580000,13.250000,13.580000,9.111144,56380700
2009-05-04,13.700000,13.990000,13.620000,13.980000,9.379515,62231600
2009-05-05,13.990000,14.360000,13.930000,14.280000,9.580790,64277700
2009-05-06,14.170000,14.250000,13.760000,13.910000,9.438299,60650700
2009-05-07,14.020000,14.430000,13.850000,14.160000,9.607936,74933300
2009-05-08,14.330000,14.510000,14.250000,14.400000,9.770778,56555600
2009-05-11,14.100000,14.420000,14.100000,14.150000,9.601150,52989600
2009-05-12,14.240000,15.210000,14.200000,14.930000,10.130399,116685800
2009-05-13,15.090000,15.600000,14.980000,15.270000,10.361095,98259100
2009-05-14,15.260000,15.500000,15.190000,15.340000,10.408595,48820100
2009-05-15,15.180000,15.290000,14.890000,15.010000,10.184678,50766100
2009-05-18,15.020000,15.230000,14.980000,15.190000,10.306815,40222000
2009-05-19,15.190000,15.290000,15.020000,15.100000,10.245743,34130000
2009-05-20,15.150000,15.330000,15.020000,15.110000,10.252531,36017900
2009-05-21,15.030000,15.190000,14.680000,14.830000,10.062547,49320800
2009-05-22,14.840000,15.090000,14.670000,14.960000,10.150750,33768600
2009-05-26,14.900000,15.180000,14.730000,15.020000,10.191464,49796200
2009-05-27,15.000000,15.050000,14.590000,14.660000,9.947195,35392000
2009-05-28,14.760000,14.860000,14.570000,14.690000,9.967550,42627000
2009-05-29,14.800000,15.200000,14.650000,15.190000,10.306815,68986200
2009-06-01,15.360000,15.450000,14.700000,14.760000,10.015049,70504400
2009-06-02,14.980000,15.100000,14.820000,14.980000,10.164323,50146300
2009-06-03,14.850000,14.920000,14.650000,14.890000,10.103254,52021600
2009-06-04,14.940000,14.940000,14.600000,14.640000,9.933623,40474000
2009-06-05,14.790000,14.830000,14.340000,14.510000,9.845417,49169800
2009-06-08,14.400000,14.490000,14.120000,14.310000,9.709710,47943000
2009-06-09,14.370000,14.430000,14.100000,14.130000,9.587575,42564600
2009-06-10,14.130000,14.320000,13.940000,14.050000,9.533293,47237000
2009-06-11,14.090000,14.820000,14.050000,14.630000,9.926837,70437000
2009-06-12,14.570000,15.070000,14.510000,14.760000,10.015049,74231500
2009-06-15,14.700000,14.700000,14.020000,14.130000,9.587575,58974200
2009-06-16,14.210000,14.460000,14.110000,14.160000,9.607936,45681600
2009-06-17,14.230000,14.700000,14.210000,14.580000,9.892914,55001400
2009-06-18,14.640000,15.180000,14.580000,14.920000,10.123613,66901400
2009-06-19,15.150000,15.320000,14.970000,15.000000,10.177893,84594400
