Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,11.075000,11.310000,10.630000,10.647500,8.543910,24009200
2009-01-27,10.872500,11.047500,10.660000,11.037500,8.856857,26436000
2009-01-28,11.477500,11.870000,11.312500,11.805000,9.472728,32089600
2009-01-29,11.485000,12.027500,11.312500,11.567500,9.282151,26097600
2009-01-30,11.762500,12.337500,11.715000,12.337500,9.900023,30315200
2009-02-02,12.065000,12.497500,11.885000,12.492500,10.024401,28544000
2009-02-03,12.552500,12.737500,12.047500,12.097500,9.707438,28953600
2009-02-04,12.215000,12.560000,12.140000,12.282500,9.855888,33166400
2009-02-05,13.060000,13.775000,12.875000,13.435000,10.780692,96728400
2009-02-06,13.487500,14.000000,13.420000,13.852500,11.115708,45907600
2009-02-09,13.880000,14.087500,13.650000,13.830000,11.097656,31874400
2009-02-10,13.782500,14.000000,13.402500,13.462500,10.802757,38071600
2009-02-11,13.525000,13.807500,13.375000,13.740000,11.112103,23668000
2009-02-12,13.570000,14.150000,13.275000,14.100000,11.403248,34827600
2009-02-13,14.232500,14.487500,13.815000,13.987500,11.312268,40788000
2009-02-17,13.672500,13.800000,13.417500,13.562500,10.968555,35581600
2009-02-18,13.642500,14.222500,13.562500,14.037500,11.352703,36329200
2009-02-19,14.237500,14.475000,13.872500,13.907500,11.247568,35102400
2009-02-20,13.662500,14.022500,13.625000,13.915000,11.253631,42908000
2009-02-23,14.010000,14.210000,13.497500,13.562500,10.968555,31967200
2009-02-24,13.585000,14.245000,13.402500,14.087500,11.393144,43590800
2009-02-25,14.027500,14.137500,13.785000,13.855000,11.205109,34394800
2009-02-26,14.062500,14.165000,13.697500,14.015000,11.334509,35902400
2009-02-27,13.750000,14.475000,13.750000,14.177500,11.465925,47237200
2009-03-02,13.982500,14.242500,13.467500,13.540000,10.950359,39060000
2009-03-03,13.682500,13.907500,13.302500,13.590000,10.990791,42195600
2009-03-04,13.750000,13.967500,13.475000,13.822500,11.178826,35775200
2009-03-05,13.637500,13.872500,13.170000,13.355000,10.800739,44144800
2009-03-06,13.440000,13.537500,12.302500,12.547500,10.147679,60701600
2009-03-09,12.417500,12.770000,12.185000,12.450000,10.068824,33554400
2009-03-10,12.747500,13.217500,12.647500,13.217500,10.689535,38644400
2009-03-11,13.415000,13.415000,12.630000,12.842500,10.386260,36124400
2009-03-12,12.825000,13.522500,12.567500,13.522500,10.936202,43276000
2009-03-13,13.565000,13.837500,12.925000,13.012500,10.523744,49564400
2009-03-16,13.245000,13.432500,12.965000,13.042500,10.548009,33474400
2009-03-17,13.000000,13.845000,12.832500,13.822500,11.178826,25730400
2009-03-18,13.612500,14.125000,13.365000,14.077500,11.385056,45296400
2009-03-19,14.095000,14.175000,13.107500,13.172500,10.653145,41743600
2009-03-20,13.300000,13.590000,13.125000,13.132500,10.620794,33476000
2009-03-23,13.467500,13.895000,13.225000,13.885000,11.229371,44656800
2009-03-24,13.570000,13.697500,13.317500,13.400000,10.837131,43555600
2009-03-25,13.487500,13.687500,12.820000,13.187500,10.665275,58624800
2009-03-26,13.345000,13.947500,13.130000,13.875000,11.221281,59466400
2009-03-27,13.570000,14.077500,13.552500,13.562500,10.968555,32687200
2009-03-30,13.325000,13.712500,13.252500,13.375000,10.816915,38596400
2009-03-31,13.600000,14.057500,13.460000,13.900000,11.241505,47446400
2009-04-01,13.687500,14.000000,13.407500,13.572500,10.976641,44144400
2009-04-02,13.865000,14.277500,13.780000,13.897500,11.239482,47396800
2009-04-03,13.817500,15.040000,13.817500,15.020000,12.147294,57694800
2009-04-06,14.675000,15.010000,14.437500,14.782500,11.955215,44927600
2009-04-07,14.595000,14.690000,14.267500,14.287500,11.554889,27122400
2009-04-08,14.450000,14.467500,14.102500,14.455000,11.690356,23815600
