time,symbol,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume
55165,ETH/USDT,174.55,169.09,172.71,35.39983,172.72,0.51688,171.77430393,169.97,172.71,172.71,169.98,2.74,1.612,,453317.70491,77868333.2201152
55166,ETH/USDT,174.55,169.09,172.67,11.02824,172.7,26.11752,171.7743776,169.97,172.69,172.69,169.98,2.72,1.6,,453353.40468,77874498.9213931
55167,ETH/USDT,174.55,169.09,172.67,6.97998,172.7,15.35409,171.77438384,170.01,172.67,172.67,169.97,2.66,1.565,,453356.35668,77875008.8268871
55168,ETH/USDT,174.55,169.09,172.7,14.47513,172.73,0.743,171.77441763,169.98,172.73,172.73,170.01,2.75,1.618,,453371.65128,77877651.3683236
55170,ETH/USDT,174.55,169.09,172.71,35.54485,172.74,10.79037,171.77445822,170.0,172.71,172.71,170.02,2.71,1.594,,453380.40267,77879173.0381909
55171,ETH/USDT,174.55,169.09,172.71,6.46833,172.74,13.73013,171.77453505,170.01,172.71,172.71,170.03,2.7,1.588,,453408.38604,77884014.7014557
55173,ETH/USDT,174.55,169.09,172.71,3.16142,172.73,0.33115,171.77453818,170.01,172.71,172.71,170.03,2.7,1.588,,453409.88941,77884274.3574866
55174,ETH/USDT,174.55,169.09,172.71,0.00096,172.72,17.10337,171.77455253,170.0,172.71,172.71,170.01,2.71,1.594,,453411.03602,77884477.8265743
55175,ETH/USDT,174.55,169.09,172.71,0.00096,172.72,0.79037,171.77455447,169.95,172.72,172.72,170.0,2.77,1.63,,453411.10225,77884490.0818199
55176,ETH/USDT,174.55,169.09,172.73,14.4722,172.77,10.79037,171.77466275,169.96,172.78,172.78,169.95,2.82,1.659,,453460.73877,77893065.4743568
55178,ETH/USDT,174.55,169.09,172.72,10.0,172.73,6.30504,171.77466546,169.96,172.74,172.74,169.95,2.78,1.636,,453462.00777,77893284.6814168
55179,ETH/USDT,174.55,169.09,172.7,12.61912,172.73,6.00513,171.77466609,169.96,172.73,172.73,169.95,2.77,1.63,,453462.30768,77893336.4848711
