time,symbol,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume
69623,ETH/USDT,174.55,169.63,170.99,0.26388,171.03,0.35802,171.97139153,170.7,171.01,171.01,170.69,0.31,0.182,,450171.20905,77416569.2473447
69633,ETH/USDT,174.55,169.63,171.02,7.55527,171.03,0.00016,171.97164679,170.88,171.03,171.03,170.85,0.15,0.088,,450070.98151,77399447.8615758
69643,ETH/USDT,174.55,169.63,171.0,0.58284,171.02,6.531,171.97194518,170.97,171.02,171.02,170.97,0.05,0.029,,449945.0048,77377917.7007342
69653,ETH/USDT,174.55,169.63,171.02,33.85838,171.03,0.00016,171.97224714,170.75,171.02,171.02,170.83,0.27,0.158,,449819.58583,77356484.9807272
69663,ETH/USDT,174.55,169.63,171.07,1.64004,171.1,9.91988,171.97245855,170.73,171.1,171.1,170.69,0.37,0.217,,449742.52604,77343327.9161841
69674,ETH/USDT,174.55,169.63,171.1,9.64994,171.11,15.84436,171.97255631,170.75,171.1,171.1,170.78,0.35,0.205,,449707.6438,77337373.0974584
69684,ETH/USDT,174.55,169.63,171.1,0.02694,171.11,19.0775,171.97261241,170.78,171.1,171.1,170.76,0.32,0.187,,449689.07022,77334204.1794617
69694,ETH/USDT,174.55,169.63,171.03,0.06094,171.05,1.67401,171.97296448,171.05,171.07,171.07,171.04,0.02,0.012,,449541.22419,77308936.979875
69704,ETH/USDT,174.55,169.63,171.0,10.06,171.01,1.59126,171.97371417,170.92,171.01,171.01,170.92,0.09,0.053,,449207.02512,77251800.5397988
69714,ETH/USDT,174.55,169.63,170.97,0.77079,171.0,2.04218,171.97380484,171.0,171.0,171.0,171.0,0.0,0.0,,449168.63051,77245238.4040791
69724,ETH/USDT,174.55,169.63,170.98,0.33934,171.02,24.32713,171.97398401,170.87,170.97,170.97,170.87,0.1,0.059,,449089.68715,77231742.6790017
69734,ETH/USDT,174.55,169.63,170.94,0.38234,170.97,0.00042,171.97403812,170.8,170.97,170.97,170.88,0.17,0.1,,449069.7456,77228337.5474647
69745,ETH/USDT,174.55,169.63,170.93,2.74342,170.97,9.758,171.97398345,170.84,170.97,170.97,170.84,0.13,0.076,,449094.53778,77232576.6084086
69755,ETH/USDT,174.55,169.63,170.9,8.53972,170.95,4.59922,171.97412642,170.97,170.9,170.9,171.0,-0.07,-0.041,,449033.56876,77222155.7199617
69765,ETH/USDT,174.55,169.63,170.91,0.44232,170.97,38.06622,171.97423128,171.05,170.96,170.96,171.06,-0.09,-0.053,,448984.19529,77213711.8404724
69775,ETH/USDT,174.55,169.63,170.89,13.15581,170.94,0.61522,171.97433787,171.04,170.92,170.92,170.99,-0.12,-0.07,,448934.95546,77205291.7123297
69785,ETH/USDT,174.55,169.63,170.9,0.27904,170.94,10.33622,171.97448948,171.25,170.93,170.93,171.21,-0.32,-0.187,,448855.88704,77191762.022115
69795,ETH/USDT,174.55,169.63,171.04,23.30029,171.05,0.00082,171.97498827,171.15,171.05,171.05,171.2,-0.1,-0.058,,448529.45256,77135847.3447646
69806,ETH/USDT,174.55,169.63,171.04,1.819,171.05,0.00082,171.97526298,170.97,171.05,171.05,170.98,0.08,0.047,,448393.03065,77112509.3623271
69816,ETH/USDT,174.55,169.63,171.03,1.37537,171.05,0.45659,171.97554291,170.93,171.05,171.05,170.93,0.12,0.07,,448272.69767,77091940.5553578
69826,ETH/USDT,174.55,169.63,170.97,12.79298,171.01,0.27889,171.97576285,171.17,170.97,170.97,171.17,-0.2,-0.117,,448166.6049,77073793.7616306
69836,ETH/USDT,174.55,169.63,170.92,0.32533,170.98,13.2586,171.97577246,171.08,170.98,170.98,171.1,-0.1,-0.058,,448155.42427,77071875.270169
69846,ETH/USDT,174.55,169.63,170.88,0.09518,170.91,0.09589,171.9758174,171.17,170.91,170.91,171.18,-0.26,-0.152,,448131.49733,77067780.5559717
69856,ETH/USDT,174.55,169.63,170.89,16.0338,170.9,0.0004,171.97586774,171.11,170.9,170.9,171.13,-0.21,-0.123,,448102.46666,77062810.5391212
69867,ETH/USDT,174.55,169.63,170.93,16.62413,170.94,0.00082,171.97595219,171.23,170.94,170.94,171.3,-0.29,-0.169,,448048.79874,77053618.7899126
69877,ETH/USDT,174.55,169.63,170.93,0.77395,170.94,0.37513,171.97598898,171.12,170.94,170.94,171.14,-0.18,-0.105,,448026.5008,77049800.5656068
69887,ETH/USDT,174.55,169.63,170.91,6.66944,170.94,0.37513,171.97606088,171.02,170.93,170.93,171.07,-0.09,-0.053,,447989.85111,77043529.9077046
69897,ETH/USDT,174.55,169.63,170.91,2.96396,170.92,50.60595,171.97603777,170.98,170.92,170.92,170.98,-0.06,-0.035,,447997.53636,77044841.2358441
69907,ETH/USDT,174.55,169.63,170.88,0.13231,170.89,17.63594,171.97606299,171.08,170.89,170.89,171.07,-0.19,-0.111,,447984.96405,77042690.3954072
69918,ETH/USDT,174.55,169.63,170.83,10.0,170.85,15.8536,171.97618623,171.22,170.84,170.84,171.18,-0.38,-0.222,,447918.33145,77031286.3839358
69928,ETH/USDT,174.55,169.63,170.84,54.70126,170.85,0.00023,171.97618396,171.12,170.85,170.85,171.13,-0.27,-0.158,,447910.82739,77029994.8477595
69938,ETH/USDT,174.55,169.63,170.84,48.46887,170.85,0.00023,171.97621508,171.04,170.85,170.85,171.05,-0.19,-0.111,,447895.2445,77027328.9019273
69948,ETH/USDT,174.55,169.63,170.85,0.3816,170.88,11.72422,171.97738471,170.97,170.88,170.88,170.98,-0.09,-0.053,,447341.71543,76932658.2900872
69958,ETH/USDT,174.55,169.63,170.85,16.0,170.86,0.69244,171.97745282,170.91,170.85,170.85,170.91,-0.06,-0.035,,447312.18194,76927609.664761
69968,ETH/USDT,174.55,169.63,170.87,7.83677,170.88,0.00029,171.97783367,170.75,170.85,170.85,170.77,0.1,0.059,,447160.71062,76901730.3133042
69979,ETH/USDT,174.55,169.63,170.96,18.03628,170.97,0.30661,171.97806739,170.81,170.92,170.92,170.79,0.11,0.064,,447083.44444,76888546.7372283
69989,ETH/USDT,174.55,169.63,170.98,1.77861,171.01,10.0,171.97821995,170.76,171.01,171.01,170.75,0.25,0.146,,447032.0711,76879779.8468214
69999,ETH/USDT,174.55,169.63,170.92,0.20434,170.94,0.395,171.97824646,170.74,170.94,170.94,170.72,0.2,0.117,,447029.84192,76879408.3294286
70009,ETH/USDT,174.55,169.63,170.89,8.92322,170.9,0.00084,171.97843188,170.66,170.9,170.9,170.66,0.24,0.141,,446969.14555,76869052.7511164
70019,ETH/USDT,174.55,169.63,170.91,10.20113,170.95,4.63386,171.9785452,170.7,170.95,170.95,170.7,0.25,0.146,,446930.63753,76862480.8466071
70030,ETH/USDT,174.55,169.63,170.93,1.06412,170.97,10.0,171.97885936,170.81,170.93,170.93,170.8,0.12,0.07,,446810.96058,76842039.3483814
70040,ETH/USDT,174.55,169.63,170.92,10.27902,170.97,10.71007,171.97896067,170.81,170.97,170.97,170.8,0.16,0.094,,446772.35718,76835445.6436209
70050,ETH/USDT,174.55,169.63,170.99,16.54303,171.0,71.6699,171.97831537,170.81,171.0,171.0,170.78,0.19,0.111,,447074.99802,76887205.0018742
70060,ETH/USDT,174.55,169.63,170.99,14.62646,171.0,197.14881,171.97829288,170.73,171.0,171.0,170.75,0.27,0.158,,447086.09669,76889103.68036
70070,ETH/USDT,174.55,169.63,170.99,1e-05,171.0,13.19977,171.97819788,170.76,170.99,170.99,170.76,0.23,0.135,,447142.59771,76898778.1498547
70080,ETH/USDT,174.55,169.63,170.97,10.13032,171.01,23.82309,171.97830537,170.83,171.01,171.01,170.83,0.18,0.105,,447105.53769,76892452.6926178
70091,ETH/USDT,174.55,169.63,170.95,9.74119,170.96,14.6233,171.97835903,170.79,170.97,170.97,170.8,0.18,0.105,,447089.17298,76889662.3072558
70101,ETH/USDT,174.55,169.63,170.91,18.73112,170.94,0.00058,171.97833849,170.81,170.94,170.94,170.8,0.13,0.076,,447104.02454,76892207.2729748
70111,ETH/USDT,174.55,169.63,170.97,0.16054,171.0,0.13279,171.9788256,170.92,171.0,171.0,170.93,0.08,0.047,,446917.2693,76860307.112792
70121,ETH/USDT,174.55,169.63,171.0,10.0,171.03,0.00032,171.97890582,170.88,171.03,171.03,170.87,0.15,0.088,,446885.6815,76854910.5320892
70132,ETH/USDT,174.55,169.63,171.0,5.20271,171.05,185.59987,171.97892378,170.94,171.03,171.03,170.93,0.09,0.053,,446879.59103,76853871.1260621
70142,ETH/USDT,174.55,169.63,171.03,0.23197,171.04,33.04687,171.97891869,170.91,171.03,171.03,170.88,0.12,0.07,,446883.63405,76854564.1639707
70152,ETH/USDT,174.55,169.63,171.04,3.54466,171.06,183.39238,171.97894176,170.89,171.04,171.04,170.91,0.15,0.088,,446874.17564,76852947.8253759
70162,ETH/USDT,174.55,169.63,171.04,5.84659,171.05,0.2371,171.97896384,170.92,171.04,171.04,170.85,0.12,0.07,,446865.58296,76851479.9350493
70173,ETH/USDT,174.55,169.63,171.0,24.64414,171.01,150.0,171.97876518,170.9,171.0,171.0,170.9,0.1,0.059,,446956.89981,76867095.7199524
70183,ETH/USDT,174.55,169.63,170.96,10.0,170.97,5.62214,171.97860207,170.97,170.95,170.95,170.94,-0.02,-0.012,,447028.40011,76879319.3359811
70193,ETH/USDT,174.55,169.63,171.0,13.3781,171.01,1.69854,171.9787189,171.07,170.97,170.97,171.03,-0.1,-0.058,,446975.25394,76870231.5526471
70203,ETH/USDT,174.55,169.63,171.03,38.27509,171.04,0.00054,171.97896808,171.1,171.04,171.04,171.06,-0.06,-0.035,,446847.53126,76848377.3156739
70213,ETH/USDT,174.55,169.63,171.08,1.89023,171.09,11.37741,171.97979969,170.92,171.08,171.08,170.96,0.16,0.094,,446476.76582,76784984.7536667
